line,words,marked_words,word_ax,word_p50,mark_hit,mark_wrong,mark_missed,mark_extra,der_collapse_ok,der_words
0,34,31,1,12,41,48,7,0,4,34
1,15,10,1,7,13,9,7,0,6,15
2,45,45,2,20,71,70,11,2,2,45
3,14,13,1,4,16,10,15,0,2,14
4,11,11,0,9,19,10,5,0,0,11
5,28,25,6,19,57,23,10,0,9,28
6,7,6,0,3,12,6,7,0,1,7
7,72,70,2,47,120,91,18,5,2,72
8,28,28,0,15,48,38,11,1,0,28
9,33,32,0,14,42,40,14,1,1,33
10,17,17,0,11,25,17,8,1,0,17
11,8,5,1,4,11,5,2,0,4,8
12,4,4,0,3,7,2,2,1,0,4
13,19,16,2,10,30,21,6,1,5,19
14,127,127,8,80,198,140,48,0,8,127
15,8,8,0,5,16,11,1,0,0,8
16,1,1,0,0,1,0,3,0,0,1
17,13,13,0,8,18,13,6,0,0,13
18,75,71,2,36,110,94,21,0,6,75
19,119,119,9,79,203,151,24,3,9,119
20,119,119,6,54,167,116,90,1,6,119
21,28,28,1,10,39,36,20,0,1,28
22,99,99,6,51,177,119,50,0,6,99
23,46,46,1,23,79,56,18,0,1,46
24,4,4,1,2,8,5,1,0,1,4
25,4,3,0,3,6,3,2,0,1,4
26,8,8,0,4,14,8,5,1,0,8
27,30,30,4,15,41,21,22,1,4,30
28,23,23,1,12,31,31,6,0,1,23
29,24,24,1,15,40,33,5,0,1,24
30,1,1,0,0,2,1,2,0,0,1
31,67,67,4,47,106,86,12,1,4,67
32,15,15,1,5,21,18,4,0,1,15
33,8,8,0,3,9,10,3,0,0,8
34,4,4,0,3,10,5,2,0,0,4
35,57,57,3,28,77,72,17,1,3,57
36,99,96,6,59,169,107,33,1,9,99
37,8,5,0,2,7,6,3,0,3,8
38,30,30,1,15,52,39,12,0,1,30
39,35,31,2,19,55,35,14,1,5,35
40,66,63,6,37,111,67,32,0,9,66
41,10,10,1,6,14,14,3,0,1,10
42,23,23,3,16,41,21,4,1,3,23
43,91,91,11,46,148,101,39,1,11,91
44,16,14,1,8,23,23,1,1,2,16
45,8,8,0,6,10,6,5,0,0,8
46,9,9,1,4,17,9,6,0,1,9
47,57,57,4,36,105,73,10,3,4,57
48,45,42,3,23,57,57,3,0,6,45
49,86,83,6,40,140,97,44,1,9,86
50,5,5,1,3,8,6,1,0,1,5
51,5,5,1,3,8,5,3,0,1,5
52,9,9,0,3,12,13,2,0,0,9
53,22,22,4,13,40,29,2,0,3,22
54,14,14,0,4,23,19,7,0,0,14
55,113,110,7,69,170,123,35,2,10,113
56,34,31,0,15,56,41,13,0,3,34
57,18,17,1,11,26,23,4,0,2,18
58,126,126,7,64,182,160,36,0,7,126
59,47,42,5,23,62,42,27,0,10,47
60,90,87,5,45,138,113,31,0,8,90
61,34,34,1,20,52,38,18,1,1,34
62,43,43,1,22,70,60,16,0,1,43
63,18,16,0,9,23,19,7,2,0,18
64,7,7,0,5,13,7,6,0,0,7
65,2,2,0,1,2,4,0,0,0,2
66,10,7,0,6,10,7,2,0,3,10
67,17,17,0,9,24,21,6,0,0,17
68,63,63,3,40,98,69,16,2,3,63
69,49,46,4,21,76,60,16,1,7,49
70,36,36,3,23,69,42,14,2,3,36
71,26,26,0,18,44,27,15,1,0,26
72,21,21,0,12,38,29,5,0,0,21
73,43,43,1,20,69,51,14,0,1,43
74,7,7,0,3,8,6,9,0,0,7
75,13,13,1,6,19,16,6,0,1,13
76,84,84,4,43,122,84,60,3,4,84
77,41,38,3,22,65,42,12,0,6,41
78,141,141,9,75,179,163,51,1,9,141
79,65,60,7,37,91,63,21,0,12,65
80,46,46,3,20,67,67,10,0,3,46
81,29,27,4,15,46,33,4,0,6,29
82,16,16,0,11,30,20,10,0,0,16
83,22,19,1,11,36,21,9,0,4,22
84,30,25,1,14,39,29,6,2,4,30
85,125,122,13,73,212,148,38,0,16,125
86,15,15,3,8,28,14,8,0,3,15
87,8,6,0,3,9,5,6,2,0,8
88,3,3,0,1,4,4,2,0,0,3
89,32,32,2,19,55,40,10,0,2,32
90,3,3,0,3,5,1,2,1,0,3
91,40,37,5,24,59,32,22,0,8,40
92,29,26,0,9,40,33,9,0,3,29
93,35,34,3,18,69,41,8,0,4,35
94,6,6,0,3,10,12,0,0,0,6
95,6,6,0,3,6,10,2,0,0,6
96,18,18,1,7,27,25,8,0,1,18
97,31,31,3,15,43,38,12,0,3,31
98,63,58,12,30,89,58,24,0,17,63
99,13,10,1,6,18,12,4,0,4,13
100,15,15,0,7,21,23,3,0,0,15
101,29,29,1,15,39,39,7,0,1,29
102,15,14,0,10,24,13,11,0,1,15
103,49,46,4,29,80,46,17,0,7,49
104,19,19,0,15,41,27,2,1,0,19
105,109,109,11,57,186,136,31,0,11,109
106,12,12,1,6,18,12,4,0,1,12
107,7,7,0,5,12,7,4,0,0,7
108,19,19,0,8,29,24,9,0,0,19
109,44,44,2,21,66,59,12,2,2,44
110,43,40,3,21,61,56,15,0,6,43
111,5,4,0,1,5,6,2,0,1,5
112,12,12,1,10,25,15,4,0,1,12
113,14,11,0,6,16,18,1,0,3,14
114,14,14,1,8,19,17,5,0,1,14
115,121,121,5,65,182,165,29,2,5,121
116,6,5,0,2,6,5,8,0,1,6
117,12,9,0,4,15,10,6,0,3,12
118,14,11,0,7,16,14,4,0,3,14
119,28,25,1,16,52,38,4,0,4,28
120,110,105,5,60,165,154,19,3,9,110
121,109,109,9,67,175,123,44,3,9,109
122,3,3,0,2,6,4,1,0,0,3
123,11,11,0,6,16,15,6,0,0,11
124,17,14,0,6,17,12,13,0,3,17
125,75,75,3,43,112,89,19,2,3,75
126,49,49,7,24,68,50,22,1,7,49
127,25,25,0,14,40,31,7,1,0,25
128,37,37,5,24,64,33,11,0,5,37
129,27,24,1,13,37,24,14,0,4,27
130,7,7,0,3,8,5,5,0,0,7
131,26,26,0,17,45,28,14,0,0,26
132,57,55,4,29,90,80,10,2,4,57
133,44,44,1,24,63,55,9,0,1,44
134,109,109,4,51,167,145,41,2,4,109
135,33,28,1,17,41,32,8,2,4,33
136,74,74,5,39,111,99,11,1,5,74
137,71,66,2,36,112,78,26,0,7,71
138,10,10,1,5,18,9,6,0,1,10
139,17,17,1,5,17,15,16,0,1,17
140,33,33,9,25,52,23,12,0,9,33
141,57,57,5,36,92,77,11,0,5,57
142,3,3,0,1,7,3,5,0,0,3
143,53,53,3,31,79,71,11,1,3,53
144,28,28,1,14,42,40,8,0,1,28
145,6,6,1,2,10,2,9,0,0,6
146,14,14,0,10,25,14,4,0,0,14
147,12,12,1,9,23,11,3,1,1,12
148,40,40,1,25,65,47,15,0,1,40
149,99,99,5,49,140,147,19,5,5,99
150,21,14,0,2,18,16,12,0,7,21
151,46,45,2,24,65,40,32,1,2,46
152,68,60,2,37,96,77,21,0,10,68
153,31,31,2,16,41,32,15,1,2,31
154,11,11,0,8,20,10,7,0,0,11
155,35,35,0,15,49,39,16,0,0,35
156,4,4,0,3,6,4,1,1,0,4
157,130,123,10,58,177,183,22,2,17,130
158,59,54,5,29,81,62,19,0,10,59
159,23,19,2,12,35,22,8,1,6,23
160,22,20,1,11,34,26,7,1,3,22
161,5,5,0,3,9,4,4,0,0,5
162,3,3,0,1,4,3,4,0,0,3
163,7,7,1,2,7,10,0,0,1,7
