line,words,marked_words,word_ax,word_p50,mark_hit,mark_wrong,mark_missed,mark_extra,der_collapse_ok,der_words
0,34,31,0,13,37,47,9,0,3,34
1,15,10,0,7,12,7,8,0,5,15
2,45,45,3,20,68,59,24,1,3,45
3,14,13,0,4,15,8,15,0,1,14
4,11,11,1,7,16,10,3,0,1,11
5,28,25,4,17,53,20,18,0,7,28
6,7,6,0,3,12,4,7,0,1,7
7,72,70,7,45,121,74,25,5,7,72
8,28,28,0,14,45,36,19,1,0,28
9,33,32,2,14,46,32,17,1,3,33
10,17,17,1,12,27,14,8,1,1,17
11,8,5,0,3,8,7,3,0,3,8
12,4,4,0,4,8,1,2,1,0,4
13,19,16,1,8,24,21,12,1,4,19
14,127,127,8,78,198,123,71,0,8,127
15,8,8,0,5,17,8,2,0,0,8
16,1,1,0,0,1,0,3,0,0,1
17,13,13,0,4,13,15,6,0,0,13
18,75,71,3,31,106,81,39,0,7,75
19,119,119,9,68,182,153,38,2,9,119
20,119,119,3,45,163,113,101,0,3,119
21,28,28,2,9,38,34,22,0,2,28
22,99,99,9,53,185,93,67,0,9,99
23,46,46,1,25,75,53,23,1,1,46
24,4,4,1,3,9,4,0,0,1,4
25,4,3,0,3,6,2,2,0,1,4
26,8,8,0,4,15,8,8,1,0,8
27,30,30,4,14,39,20,27,0,4,30
28,23,23,0,12,31,26,8,0,0,23
29,24,24,2,13,39,27,9,0,2,24
30,1,1,0,0,2,2,0,0,0,1
31,67,67,6,45,106,80,13,1,6,67
32,15,15,2,7,22,15,5,0,2,15
33,8,8,2,4,12,7,2,0,2,8
34,4,4,0,2,9,3,5,0,0,4
35,57,57,3,26,74,62,27,1,3,57
36,99,96,5,51,151,105,39,1,8,99
37,8,5,0,3,9,5,1,0,3,8
38,30,30,2,15,48,35,16,0,2,30
39,35,31,2,18,55,36,12,2,5,35
40,66,63,4,29,105,64,48,1,7,66
41,10,10,0,5,13,12,4,0,0,10
42,23,23,1,13,36,22,9,1,1,23
43,91,91,4,43,138,101,42,1,4,91
44,16,14,0,5,20,21,5,0,2,16
45,8,8,1,6,11,5,4,0,1,8
46,9,9,0,3,14,9,10,0,0,9
47,57,57,4,32,99,75,18,3,4,57
48,45,42,2,23,58,49,9,0,5,45
49,86,83,3,44,136,72,70,1,6,86
50,5,5,1,2,6,5,3,0,1,5
51,5,5,1,2,7,6,3,0,1,5
52,9,9,0,7,17,10,1,1,0,9
53,22,22,0,11,34,28,5,0,0,22
54,14,14,0,5,23,17,12,0,0,14
55,113,110,5,65,161,121,41,1,8,113
56,34,31,1,16,57,39,14,1,4,34
57,18,17,2,10,28,18,8,0,3,18
58,126,126,6,67,188,146,45,2,6,126
59,47,42,0,21,57,37,38,2,5,47
60,90,87,4,49,143,90,50,0,7,90
61,34,34,0,20,53,36,20,1,0,34
62,43,43,0,23,72,46,27,0,0,43
63,18,16,1,5,20,24,5,2,1,18
64,7,7,0,4,14,4,8,0,0,7
65,2,2,0,1,2,3,0,0,0,2
66,10,7,0,7,12,5,2,1,3,10
67,17,17,1,6,23,23,6,0,1,17
68,63,63,4,35,95,65,23,1,4,63
69,49,46,4,22,75,56,21,0,7,49
70,36,36,3,21,63,40,19,1,3,36
71,26,26,2,18,44,27,15,0,2,26
72,21,21,0,12,39,29,8,0,0,21
73,43,43,2,20,64,50,20,1,2,43
74,7,7,0,2,9,6,8,0,0,7
75,13,13,0,4,16,17,5,0,0,13
76,84,84,6,50,133,78,54,2,6,84
77,41,38,1,18,58,44,19,1,4,41
78,141,141,11,71,177,153,52,2,11,141
79,65,60,5,36,88,64,22,0,10,65
80,46,46,2,24,69,67,9,0,2,46
81,29,27,2,17,46,27,8,0,4,29
82,16,16,0,12,32,21,7,0,0,16
83,22,19,2,13,37,14,16,0,5,22
84,30,25,1,14,38,24,10,2,4,30
85,125,122,6,62,185,150,54,0,9,125
86,15,15,3,9,30,14,5,0,3,15
87,8,6,0,4,10,7,3,2,0,8
88,3,3,0,2,5,3,2,0,0,3
89,32,32,1,18,52,42,9,0,1,32
90,3,3,0,2,4,3,1,1,0,3
91,40,37,3,22,58,33,25,0,6,40
92,29,26,0,12,41,28,12,0,3,29
93,35,34,1,13,57,35,25,0,2,35
94,6,6,0,2,9,12,1,0,0,6
95,6,6,0,5,8,9,1,0,0,6
96,18,18,1,6,25,24,10,0,1,18
97,31,31,4,12,42,36,14,0,4,31
98,63,58,3,30,82,61,26,1,8,63
99,13,10,0,5,16,14,2,0,3,13
100,15,15,0,7,20,21,6,0,0,15
101,29,29,0,18,42,40,7,0,0,29
102,15,14,0,8,22,16,8,0,1,15
103,49,46,3,27,78,44,25,0,6,49
104,19,19,1,17,45,20,6,1,1,19
105,109,109,8,64,188,117,50,1,8,109
106,12,12,1,7,18,11,5,0,1,12
107,7,7,0,5,12,6,3,0,0,7
108,19,19,0,6,27,22,11,0,0,19
109,44,44,1,25,68,63,7,1,1,44
110,43,40,2,16,54,55,16,0,5,43
111,5,4,0,1,5,7,1,0,1,5
112,12,12,0,8,22,11,10,0,0,12
113,14,11,0,5,15,18,1,1,3,14
114,14,14,1,7,17,18,6,0,1,14
115,121,121,7,67,187,143,38,1,7,121
116,6,5,0,2,7,3,9,0,1,6
117,12,9,1,3,15,10,6,0,4,12
118,14,11,0,6,15,14,6,0,3,14
119,28,25,0,15,52,34,8,0,3,28
120,110,105,5,55,155,154,21,3,9,110
121,109,109,10,63,173,114,48,1,10,109
122,3,3,0,2,6,5,0,0,0,3
123,11,11,0,2,12,15,10,0,0,11
124,17,14,0,7,18,9,15,0,3,17
125,75,75,7,39,107,84,24,0,7,75
126,49,49,6,23,65,51,24,1,6,49
127,25,25,1,16,44,24,8,2,1,25
128,37,37,3,16,52,35,16,0,3,37
129,27,24,3,14,38,20,16,0,6,27
130,7,7,0,3,8,5,5,0,0,7
131,26,26,0,13,42,26,17,0,0,26
132,57,55,0,21,81,71,26,2,0,57
133,44,44,2,20,61,47,17,1,2,44
134,109,109,3,55,172,131,46,4,3,109
135,33,28,2,13,36,31,12,2,5,33
136,74,74,5,42,111,91,15,3,5,74
137,71,66,0,32,101,84,26,0,5,71
138,10,10,0,5,16,9,6,0,0,10
139,17,17,1,5,18,12,17,0,1,17
140,33,33,8,25,53,27,6,0,8,33
141,57,57,5,35,92,69,18,0,5,57
142,3,3,0,1,8,2,5,0,0,3
143,53,53,6,31,82,62,17,0,6,53
144,28,28,1,13,42,33,13,2,1,28
145,6,6,0,3,9,1,12,0,0,6
146,14,14,0,8,23,14,4,0,0,14
147,12,12,2,10,26,6,9,0,2,12
148,40,40,0,24,61,46,20,0,0,40
149,99,99,6,45,141,128,29,4,6,99
150,21,14,0,2,18,12,15,0,7,21
151,46,45,3,24,66,42,24,1,3,46
152,68,60,3,31,92,65,41,0,11,68
153,31,31,1,15,38,33,19,2,1,31
154,11,11,0,7,19,9,9,0,0,11
155,35,35,0,18,51,36,15,1,0,35
156,4,4,0,3,6,5,1,1,0,4
157,130,123,10,59,174,172,29,1,17,130
158,59,54,1,25,75,57,29,0,6,59
159,23,19,0,14,36,22,4,1,4,23
160,22,20,0,11,34,28,9,1,2,22
161,5,5,1,4,11,4,1,0,1,5
162,3,3,0,2,6,3,2,0,0,3
163,7,7,1,2,7,10,1,0,1,7
164,20,20,0,10,29,23,7,0,0,20
165,44,40,1,24,58,57,8,0,5,44
166,17,17,0,9,21,22,3,0,0,17
167,99,97,4,49,144,127,28,5,4,99
168,19,19,0,9,34,20,13,0,0,19
169,52,52,3,29,76,64,15,0,3,52
170,20,20,2,12,37,27,4,0,2,20
171,25,22,3,14,42,19,19,0,6,25
172,88,86,5,49,125,95,31,3,5,88
173,2,2,0,2,5,0,3,0,0,2
174,114,114,6,45,146,129,61,0,6,114
175,13,12,0,4,21,13,13,0,1,13
176,33,33,2,16,50,48,9,0,2,33
177,57,57,3,30,93,65,31,2,3,57
178,79,76,8,41,114,73,40,3,11,79
179,4,4,0,3,8,2,4,0,0,4
180,117,117,7,61,184,136,59,2,7,117
181,106,103,6,54,182,125,30,0,9,106
182,114,113,6,56,179,141,42,0,7,114
183,110,108,10,53,165,133,44,2,12,110
184,6,6,1,1,9,6,6,0,1,6
185,4,4,1,2,6,4,1,0,1,4
186,116,114,9,67,182,122,52,0,11,116
187,27,22,2,9,35,26,8,0,7,27
188,5,5,1,3,6,6,1,0,1,5
189,14,13,1,8,25,11,6,1,2,14
190,10,10,1,4,18,14,4,0,1,10
191,2,2,0,2,6,1,2,0,0,2
192,15,15,0,9,25,16,7,0,0,15
193,62,62,2,31,85,69,24,1,2,62
194,13,13,1,10,32,19,6,0,1,13
195,60,56,4,30,93,58,24,1,8,60
196,18,15,1,10,24,18,4,1,4,18
197,18,18,2,12,30,21,4,0,2,18
198,36,34,1,15,56,44,16,1,2,36
199,50,50,5,28,79,52,22,0,5,50
200,40,40,4,21,59,48,9,1,4,40
201,5,2,0,1,4,1,3,0,3,5
202,85,81,3,42,120,93,34,5,6,85
203,70,70,3,32,108,86,32,0,3,70
204,86,86,12,43,115,78,33,1,12,86
205,3,3,0,0,4,6,1,0,0,3
206,88,85,6,45,141,108,25,1,9,88
207,35,34,0,10,39,33,27,0,1,35
208,18,14,1,8,22,15,5,0,5,18
209,34,29,1,18,42,26,24,0,6,34
210,25,22,2,13,31,22,9,1,5,25
211,25,24,3,13,39,27,12,0,4,25
212,42,42,2,24,73,43,21,0,2,42
213,4,4,0,4,7,3,1,0,0,4
214,27,27,2,12,43,37,7,1,2,27
215,15,15,1,11,24,22,4,0,1,15
216,33,28,1,15,46,34,17,0,6,33
217,109,109,8,56,170,129,37,1,8,109
218,16,16,0,8,22,16,5,0,0,16
219,12,12,2,8,18,10,1,1,2,12
220,20,19,2,12,27,17,8,0,3,20
221,43,41,1,23,71,49,16,0,3,43
