name,source,task_type,size,license,vocalization,schema,download,usage_notes,local_path,ladder_use
"Tashkeela (Misraj/Sadeed_Tashkeela repack)","HF: Misraj/Sadeed_Tashkeela (Tashkeela-derived); companion of arXiv:2504.21635","diacritization","1,045,081 rows; 279.4M chars local (279MB corpus jsonl)","GPL-2 (upstream Tashkeela); card has no license field","fully diacritized","parquet: vocalized/bare/text splits (3 train shards + test)","https://huggingface.co/datasets/Misraj/Sadeed_Tashkeela","LOCAL ALREADY. Largest staged vocalized corpus; stage1 used 148.2M chars. GPL-2 heritage: COMMERCIAL/REDISTRIBUTION = USER DECISION FLAG.","data/diac/raw/sadeed_tashkeela","high"
"Abdou Arabic Tashkeel Dataset","HF: Abdou/arabic-tashkeel-dataset (README verified)","diacritization","1,463,790 train + 30,181 valid + 15,091 test rows; 3.72GB dataset_size / 3.52GB download","MIT (card verified)","fully diacritized (70% tashkeel-rate filter)","parquet: non_vocalized, vocalized, source","https://huggingface.co/datasets/Abdou/arabic-tashkeel-dataset","LOCAL ALREADY (5.6GB). Mix: Tashkeela 45% + Shamela 42% + Wikipedia 6.64% SYNTHETIC (GPT-4o-mini diacritized - do not treat Wikipedia slice as gold) + ashaar 2.9% + quran 1.77% + hadith 1.54%. stage1 used 181.1M chars.","data/diac/raw/abdou_tashkeel","high"
"Fadel 2019 benchmark split (AliOsm)","GitHub: AliOsm/arabic-text-diacritization (MIT, 80 stars); paper arXiv:1905.01965 (IEEE CAIS 2019)","diacritization","train 34.3MB / val 1.67MB / test 1.75MB (~1.75M words total per repo)","MIT (repo license verified via GitHub API)","fully vocalized","txt: bare, vocalized per line (train/val/test)","https://github.com/AliOsm/arabic-text-diacritization","LOCAL ALREADY. Standard benchmark for diac model SOTA claims; classical-shamela-flavored test lines. stage1 used 11.0M chars. Contamination: big classical corpora may include its source text (E-23 bench uses test as a pure gate).","data/diac/raw/fadel","high"
"QCRI Wikipedia Diacritized Corpus (clone)","GitHub: qcri/advancing-arabic-diacritization (EMNLP 2025, 2025.emnlp-main.846)","diacritization","~5M words; 32,835 articles (Wikipedia dump 2024-02-20); local jsonl 95.8MB","unknown (no LICENSE file; repo says 'publicly shareable resources')","fully diacritized but by a BiLSTM MODEL (WER ~3% on WikiNews-2014) - synthetic gold","jsonl one-article-per-line","git clone https://github.com/qcri/advancing-arabic-diacritization","LOCAL ALREADY (qcri_diac_clone + own derived qcri_gatesafe.jsonl 83.5MB). Largest free fully-vocalized MSA corpus that exists; assume model-generated labels. stage1 used 29.8M chars.","data/diac/raw/qcri_diac_clone","high"
"WikiNews-2014 benchmark (multi-ref)","GitHub: qcri/advancing-arabic-diacritization WikiNews_Benchmarks","diacritization (eval benchmark)","~182K chars local; 393 eval lines; ~18K words","unknown; 'CC terms per repo' per provenance.json (research)","fully diacritized, multi-reference",".diac txt (vocalized text with ref files); eval script EvalDiac.java","git clone https://github.com/qcri/advancing-arabic-diacritization","LOCAL ALREADY. THE benchmark referenced by CATT/Abdou/QCRI. EVAL-ONLY for our rungs (bench report in data/diac/bench).","data/diac/raw/wikinews/wikiwikinews wikinews2014_multi_ref.diac; also under qcri_diac_clone","high (eval)"
"WikiNews-2024 benchmark (multi-ref)","GitHub: qcri/advancing-arabic-diacritization","diacritization (eval benchmark)","~106K chars; 356 lines; 200KB; ~10K words","unknown; 'CC terms per repo' per provenance.json","fully diacritized, multi-reference",".diac txt","git clone https://github.com/qcri/advancing-arabic-diacritization","LOCAL ALREADY. Fresh 2024 curators benchmark; E-23 gate uses it (prep_rawlm_override wn2024=0 zero-holdout).","data/diac/raw/wikinews","high (eval)"
"SadeedDiac-25","HF: Misraj/SadeedDiac-25; paper arXiv:2504.21635","diacritization (eval benchmark)","1,200 paragraphs (600 MSA incl 146 from WikiNews; 600 CA from Fadel-test); 1.45MB","unknown (card does NOT state license; gate-verify before redistribution)","fully diacritized, multi-stage expert review","parquet: filename, input(bare), output(vocalized)","https://huggingface.co/datasets/Misraj/SadeedDiac-25","LOCAL ALREADY (sadeed25.parquet 678KB). Cleanest 2025 MSA+CA benchmark. 46.8% exact shingle overlap vs our sadeed_tashkeela train (data/diac/bench/sadeed_overlap_report.json OVERLAP-FLAGGED) -> EVAL-ONLY.","data/diac/raw/sadeed_25","high (eval)"
"E-23c ZM Labels ( Zambia/Muath label sets)","project-internal derived artifact (E-23 plan, research/E23_ZM_LEVERAGE_PLAN.md)","other (derived vocal-label tables for G4 eval)","zm_labels.jsonl 94.1MB + probe.jsonl 26KB","internal (project artifact; carries upstream license of parents)","derived labels (not a text corpus)","jsonl","n/a","LOCAL ONLY. E-23 ZM-leave labels used at G4 mark-selection eval; not a train corpus.","data/diac/raw/e23c_zm_labels","medium (G4 eval settings)"
"Tashkeela original (community-datasets)","PMC5310197 / 10.1016/j.dib.2017.01.011 (Tashkeela paper); upstream project of OhadRubin et al.","diacritization / vocalized corpus","~75M words; 1.08GB text (HF card)","GPL-2","fully vocalized (Shamela/books classical)","parquet: book, text (97 books)","https://huggingface.co/datasets/community-datasets/tashkeela","Original vocalized Shamela-derived corpus. Our local sadeed_tashkeela already covers most of it; grab at book granularity (97 docs) for better context field.","","high"
"Tashkeela (arbml repack)","HF: arbml/tashkeela","diacritization","979,982 train + 54,444 test + 54,443 dev rows; 1.58GB dataset_size; dl 747MB","unknown on card; GPL-2 upstream","fully vocalized (sentence split, diacritic-rate filtered)","parquet: diacratized, text","https://huggingface.co/datasets/arbml/tashkeela","Sentence-split variant with a held-out test set - fallback clean eval variant if sadeed_tashkeela diverges from upstream.","","high"
