line,words,marked_words,word_ax,word_p50,mark_hit,mark_wrong,mark_missed,mark_extra,der_collapse_ok,der_words
0,10,10,0,3,28,19,47,0,0,10
1,46,39,0,18,88,73,53,1,7,46
2,28,26,2,8,44,49,15,0,4,28
3,9,7,1,5,19,13,1,0,3,9
4,91,64,9,35,122,87,25,1,36,91
5,25,22,0,9,37,37,18,0,3,25
6,12,11,0,4,23,19,11,0,1,12
7,19,18,1,9,34,26,12,0,2,19
8,9,8,0,4,15,12,7,0,1,9
9,19,16,0,8,36,24,4,1,3,19
10,3,3,0,0,7,7,4,0,0,3
11,60,51,2,26,119,73,38,1,11,60
12,45,41,4,17,98,67,22,1,8,45
13,22,21,1,8,49,30,24,0,2,22
14,20,18,0,10,46,42,7,0,2,20
15,15,12,0,5,28,19,10,0,3,15
16,3,2,0,0,4,7,0,0,1,3
17,65,56,2,22,103,101,18,1,11,65
18,18,16,2,9,32,24,4,0,4,18
19,31,28,3,9,41,48,6,0,6,31
20,10,9,0,4,23,11,7,0,1,10
21,11,8,1,5,18,12,0,0,4,11
22,23,20,0,7,41,29,18,0,3,23
23,22,19,2,7,35,29,4,1,5,22
24,31,27,2,13,39,34,9,2,6,31
25,9,8,0,1,11,17,0,0,1,9
26,57,49,2,18,94,65,30,1,10,57
27,35,25,1,12,51,38,10,1,11,35
28,27,21,0,9,39,36,7,0,6,27
29,21,15,2,5,30,24,7,0,8,21
30,23,21,1,6,37,33,12,0,3,23
31,22,20,0,8,49,23,27,0,2,22
32,26,23,0,7,48,36,19,1,3,26
33,5,5,0,2,7,7,5,0,0,5
34,46,39,0,18,83,52,48,0,7,46
35,73,65,0,29,143,94,48,0,8,73
36,44,38,2,18,77,60,19,0,8,44
37,37,28,0,14,55,46,17,0,9,37
38,35,24,1,9,56,44,8,0,12,35
39,54,43,3,19,84,69,22,0,14,54
40,9,8,0,2,15,10,11,1,1,9
41,49,38,4,19,90,57,36,0,15,49
42,24,22,0,11,65,36,54,0,2,24
43,40,29,0,14,70,32,52,0,11,40
44,9,6,0,4,12,9,1,1,3,9
45,18,14,0,8,28,20,2,1,4,18
46,1,1,0,0,1,0,5,0,0,1
47,45,40,3,17,69,62,15,0,8,45
48,37,32,3,13,59,54,19,1,8,37
49,40,34,2,14,61,36,37,0,8,40
50,26,23,1,9,39,38,12,0,4,26
51,18,14,2,6,27,25,7,0,6,18
52,1,1,0,0,5,7,0,0,0,1
53,34,29,3,16,62,41,17,0,8,34
54,36,33,1,17,71,32,35,3,4,36
55,23,19,0,8,44,28,17,0,4,23
56,1,1,0,0,4,4,0,0,0,1
57,37,32,1,17,57,41,16,5,6,37
58,22,19,1,7,33,25,21,0,4,22
59,6,5,0,3,11,11,1,0,1,6
60,28,22,1,14,53,33,8,0,7,28
61,87,78,3,26,138,113,55,1,12,87
62,41,32,1,15,59,53,11,1,10,41
63,25,23,1,10,51,29,23,0,3,25
64,28,24,2,13,53,32,13,0,6,28
65,17,13,0,4,22,24,4,1,4,17
66,13,10,0,4,19,15,8,0,3,13
67,39,34,0,20,71,48,22,0,5,39
68,19,14,0,4,28,21,17,0,5,19
69,6,6,0,1,14,14,4,0,0,6
70,60,48,3,23,95,81,22,0,14,60
71,25,19,0,9,40,32,15,0,6,25
72,70,61,1,20,109,86,37,1,10,70
73,74,60,4,29,124,74,46,3,17,74
74,22,18,2,9,26,21,10,0,6,22
75,48,42,1,17,80,56,28,1,7,48
76,33,31,4,18,47,29,10,2,6,33
77,36,25,2,12,37,32,13,2,13,36
78,47,36,3,14,60,58,11,0,14,47
79,4,4,0,2,9,8,1,0,0,4
80,56,45,2,16,85,77,17,1,13,56
81,32,25,0,7,46,44,18,1,7,32
82,37,32,3,15,49,38,19,1,8,37
83,23,21,0,12,39,29,10,0,2,23
84,27,25,2,7,40,33,16,0,4,27
85,12,11,1,6,20,16,8,0,2,12
86,20,15,1,7,32,15,17,0,6,20
87,34,24,1,12,51,38,12,0,11,34
88,31,23,2,11,46,30,19,0,10,31
89,17,16,2,10,29,15,11,0,3,17
90,11,10,0,6,21,8,10,0,1,11
91,9,9,1,3,19,23,4,0,1,9
92,32,28,0,6,59,68,9,0,4,32
93,29,22,0,7,43,51,9,1,7,29
94,31,24,1,7,53,48,19,0,8,31
95,21,18,0,7,37,34,11,0,3,21
96,8,8,0,2,13,13,8,0,0,8
97,31,29,2,15,70,46,20,1,4,31
98,56,48,3,21,83,81,15,1,11,56
99,17,15,0,5,27,21,11,0,2,17
100,32,28,1,12,47,37,16,1,5,32
101,38,31,1,17,56,37,26,0,8,38
102,35,28,1,15,50,33,15,0,8,35
103,20,18,0,7,38,33,11,0,2,20
104,21,18,1,10,40,33,12,0,4,21
105,44,37,3,18,60,52,11,0,10,44
106,41,34,3,16,61,40,17,1,10,41
