line,words,marked_words,word_ax,word_p50,mark_hit,mark_wrong,mark_missed,mark_extra,der_collapse_ok,der_words
0,10,10,0,4,21,18,7,0,0,10
1,54,47,2,27,92,72,17,0,9,54
2,7,6,2,5,14,7,0,1,3,7
3,49,45,3,29,88,77,4,0,7,49
4,114,94,2,51,182,157,28,3,22,114
5,39,34,3,16,56,44,16,0,8,39
6,121,102,7,54,175,151,37,1,26,121
7,169,144,4,85,312,219,60,2,29,169
8,130,117,5,59,222,198,21,3,18,130
9,95,85,7,54,172,129,27,3,17,95
10,49,43,5,22,89,61,25,1,11,49
11,6,6,0,4,11,12,0,0,0,6
12,50,45,2,22,70,72,10,2,7,50
13,40,36,2,20,60,47,10,2,6,40
14,20,19,0,6,26,41,2,0,1,20
15,71,65,5,35,111,67,34,7,11,71
16,44,39,4,23,71,59,5,1,9,44
17,33,29,1,16,64,40,17,1,5,33
18,8,8,1,5,15,11,1,1,1,8
19,49,42,5,23,83,59,10,1,12,49
20,41,39,1,20,66,59,11,0,3,41
21,83,76,6,44,147,103,27,1,13,83
22,49,40,5,22,81,63,11,0,14,49
23,8,8,0,3,15,15,3,0,0,8
24,60,56,4,29,94,82,20,2,8,60
25,110,100,9,56,173,115,33,4,19,110
26,57,51,4,36,104,63,16,0,10,57
27,7,7,0,1,10,15,1,0,0,7
28,127,115,5,57,195,182,29,4,17,127
29,13,10,0,4,21,22,0,0,3,13
30,89,80,7,44,167,122,19,0,16,89
31,61,53,3,34,129,84,8,0,11,61
32,39,33,1,23,69,39,13,0,7,39
33,31,29,4,16,62,53,1,1,6,31
34,23,20,0,4,36,45,2,0,3,23
35,10,10,0,4,18,17,6,0,0,10
36,78,74,3,34,125,123,12,1,7,78
37,78,68,4,42,123,97,16,3,14,78
38,25,21,0,8,36,32,13,1,4,25
39,39,31,1,17,51,49,7,1,9,39
40,53,47,2,20,75,69,13,0,8,53
41,54,44,2,23,70,54,12,1,12,54
42,7,7,0,1,10,15,3,0,0,7
43,85,78,5,37,136,115,26,2,12,85
44,230,208,9,93,374,329,82,5,31,230
45,107,92,3,42,169,156,49,2,18,107
46,43,40,1,17,71,66,16,0,4,43
47,9,9,0,5,17,13,3,0,0,9
48,68,63,1,29,106,98,18,0,6,68
49,69,59,0,32,109,92,19,1,10,69
50,77,65,7,40,127,87,25,1,19,77
51,30,28,2,17,45,53,2,0,4,30
52,31,29,0,20,59,35,12,0,2,31
53,37,34,3,20,64,50,6,1,6,37
54,9,8,1,2,10,9,6,0,2,9
55,58,54,3,29,92,85,15,2,7,58
56,25,22,0,10,41,28,12,0,3,25
57,46,43,3,27,83,55,10,2,6,46
58,34,32,1,15,52,43,11,0,3,34
59,11,11,0,3,16,14,10,0,0,11
60,37,31,1,14,64,47,12,0,7,37
61,79,67,4,30,110,104,25,1,16,79
62,59,44,1,18,74,59,23,0,16,59
63,24,22,3,12,35,30,5,1,5,24
64,31,26,1,10,43,45,8,1,6,31
65,26,25,0,15,41,40,6,0,1,26
66,34,29,2,16,43,44,9,1,7,34
67,40,35,2,20,64,50,10,0,7,40
68,30,26,3,16,44,30,7,0,7,30
69,26,22,1,14,37,34,0,0,5,26
70,19,14,0,11,23,16,6,0,5,19
71,37,36,2,20,64,52,14,0,3,37
72,87,74,4,40,121,105,26,1,17,87
73,17,16,2,8,22,21,4,0,3,17
74,10,10,1,2,9,15,5,0,1,10
75,65,61,2,31,113,86,31,0,6,65
76,51,45,1,24,95,73,22,0,7,51
77,66,60,4,30,102,86,17,0,10,66
78,36,32,1,13,51,49,18,0,5,36
79,69,64,3,26,113,99,23,0,8,69
80,6,6,0,2,11,7,7,0,0,6
81,52,47,1,23,78,71,12,2,6,52
82,47,43,2,21,68,57,11,0,6,47
83,45,42,1,20,73,66,13,0,4,45
84,8,8,0,5,16,12,3,0,0,8
85,40,36,5,21,69,53,10,0,9,40
86,66,60,2,28,101,97,21,0,8,66
87,80,69,2,35,125,91,34,1,13,80
88,57,47,2,26,92,72,13,0,12,57
89,8,8,0,5,16,15,1,1,0,8
90,25,24,1,15,46,29,12,2,2,25
91,29,28,0,16,50,39,11,0,1,29
92,28,27,2,18,48,37,3,1,3,28
93,20,19,1,11,33,27,8,1,2,20
94,8,8,1,1,14,19,0,0,1,8
95,58,50,5,26,88,77,27,1,13,58
96,30,23,2,12,38,33,6,1,9,30
97,55,45,3,26,73,50,19,2,13,55
98,34,31,2,17,65,47,14,0,5,34
99,11,11,0,5,20,20,3,0,0,11
100,58,51,1,29,104,85,14,0,8,58
101,22,19,1,10,35,20,10,0,4,22
102,32,23,1,13,41,34,5,0,10,32
103,49,46,4,26,91,70,9,0,7,49
104,7,7,0,2,12,15,1,0,0,7
105,46,39,1,20,69,61,12,0,8,46
106,45,43,2,24,82,60,17,0,4,45
107,46,42,0,25,82,53,20,0,4,46
108,9,9,0,2,12,14,3,0,0,9
109,33,32,1,13,55,58,6,1,2,33
110,33,32,3,19,56,44,11,0,4,33
111,44,42,2,24,73,51,14,2,4,44
112,25,22,2,12,42,34,5,1,5,25
113,10,10,0,3,15,18,2,0,0,10
114,45,42,2,22,78,59,20,0,5,45
115,36,32,0,15,65,55,18,0,4,36
116,9,9,0,4,20,9,9,1,0,9
117,179,161,11,77,289,230,61,3,29,179
118,7,7,0,1,8,19,0,0,0,7
119,19,17,1,8,26,32,3,0,3,19
120,23,21,0,10,39,37,3,1,2,23
121,67,59,5,26,95,85,25,0,13,67
122,44,38,0,15,64,49,25,1,6,44
123,30,26,1,14,44,40,7,0,5,30
124,29,25,0,14,44,37,7,0,4,29
125,23,20,2,9,36,22,11,0,5,23
126,50,44,9,26,82,56,7,1,15,50
127,9,9,0,4,17,16,2,0,0,9
128,183,170,7,92,284,260,30,2,20,183
129,62,52,2,26,89,74,19,0,12,62
130,161,140,4,72,238,215,33,4,25,161
131,44,38,2,18,66,57,12,1,8,44
132,25,22,1,16,45,30,5,1,4,25
133,39,38,2,22,62,55,10,0,3,39
134,16,15,0,8,28,21,8,1,1,16
135,33,27,0,12,38,44,5,1,6,33
136,7,7,0,3,11,14,1,0,0,7
137,82,66,3,32,117,108,22,0,19,82
138,66,57,6,35,105,73,15,0,15,66
139,30,26,1,13,39,35,5,1,5,30
140,60,54,3,23,82,86,16,0,9,60
141,10,10,2,8,21,10,1,0,2,10
142,122,118,4,64,234,174,32,2,8,122
143,98,81,10,48,140,116,8,2,27,98
144,79,76,7,41,139,102,27,0,10,79
145,106,99,10,57,166,145,23,0,17,106
146,56,53,4,25,91,67,20,0,7,56
147,43,42,2,17,83,80,14,0,3,43
148,7,7,0,1,9,11,6,1,0,7
149,152,131,4,59,235,208,49,4,25,152
150,129,113,4,54,209,166,43,3,20,129
151,67,61,1,27,113,114,17,0,7,67
152,8,8,1,2,15,16,5,0,1,8
153,142,124,9,69,234,161,61,4,27,142
154,12,12,0,5,22,23,7,0,0,12
155,20,19,1,10,39,31,10,0,2,20
156,28,27,0,13,56,39,11,1,1,28
157,37,31,0,18,63,45,13,1,6,37
158,14,13,0,5,16,25,0,0,1,14
159,98,92,7,50,160,138,28,0,13,98
160,83,78,3,31,121,139,18,0,8,83
161,10,9,0,4,13,13,4,0,1,10
162,39,32,1,17,56,51,9,1,8,39
163,95,79,1,35,136,125,29,1,17,95
164,70,53,3,32,110,73,15,0,20,70
165,37,31,2,17,60,40,11,0,8,37
166,71,55,7,31,104,80,15,2,23,71
167,48,36,3,14,54,62,11,0,15,48
168,121,103,4,49,174,159,32,1,22,121
169,55,37,9,24,66,42,11,2,27,55
170,9,9,0,3,13,12,6,0,0,9
171,189,161,10,85,263,233,37,1,38,189
172,95,84,3,46,140,105,34,2,13,95
173,6,5,0,2,10,10,1,0,1,6
174,59,52,1,30,92,77,18,0,8,59
175,90,73,7,43,122,96,27,0,24,90
176,122,103,6,58,174,136,38,2,25,122
177,125,112,6,51,185,182,23,4,19,125
178,7,7,1,6,15,8,2,0,1,7
179,40,37,2,20,73,55,13,1,5,40
180,56,42,1,25,84,59,14,0,15,56
181,49,44,0,23,72,72,11,0,5,49
182,22,21,1,13,36,31,7,0,2,22
183,8,8,0,2,11,11,7,0,0,8
